85, 5952, 3084, 9036
86, 289, 1031, 1320
87, 1893, 4995, 6888
88, 787, 1214, 2001
89, 557, 936, 1493
90, 841, 1643, 2484
91, 206, 617, 823
92, 558, 598, 1156
93, 1211, 1739, 2950
94, 594, 1409, 2003
95, 947, 1775, 2722
96, 810, 1545, 2355
97, 12, 43, 55
98, 621, 2367, 2988
99, 49, 198, 247
100, 615, 2191, 2806
101, 1332, 2681, 4013
102, 1977, 4268, 6245
103, 1117, 1775, 2892
104, 390, 508, 898
105, 364, 549, 913
106, 799, 1749, 2548
107, 712, 1172, 1884
108, 1035, 2900, 3935
109, 1541, 3198, 4739
110, 2436, 1308, 3744
111, 3, 12, 15
112, 2816, 9594, 12410
113, 15, 59, 74
114, 773, 2742, 3515
115, 6, 56, 62
116, 38, 463, 501
117, 1, 5, 6
118, 977, 114, 1091
119, 3043, 446, 3489
120, 1440, 584, 2024
121, 13874, 6700, 20574
122, 1201, 762, 1963
123, 5257, 4148, 9405
124, 3814, 2126, 5940
125, 3026, 415, 3441
126, 2006, 466, 2472
127, 2909, 293, 3202
128, 23034, 7503, 30537
129, 24, 812, 836
130, 12177, 5290, 17467
131, 397, 393, 790
132, 8608, 5390, 13998
133, 10691, 2989, 13680
134, 6938, 1993, 8931
135, 8054, 6135, 14189
136, 10464, 9181, 19645
137, 24496, 14510, 39006
138, 10514, 8690, 19204
139, 10847, 2467, 13314
140, 7830, 2735, 10565
141, 12637, 4426, 17063
142, 9028, 4193, 13221
143, 7042, 3604, 10646
144, 11426, 4430, 15856
145, 4314, 1961, 6275
146, 7704, 3214, 10918
147, 9126, 3338, 12464
148, 0, 1327, 1327
149, 22737, 4918, 27655
150, 14, 12, 26
151, 0, 0, 0
152, 24798, 373, 25171
153, 2119, 621, 2740
154, 4096, 371, 4467
155, 16341, 1389, 17730
156, 30993, 1883, 32876
157, 22908, 6418, 29326
158, 1331, 113, 1444
159, 6803, 2282, 9085
160, 14504, 9501, 24005
161, 0, 0, 0
162, 3986, 1492, 5478
163, 31952, 13781, 45733
164, 6020, 1621, 7641
165, 18379, 3467, 21846
166, 10959, 2392, 13351
167, 1591, 228, 1819
168, 4798, 1922, 6720
169, 9555, 4292, 13847
170, 19085, 440, 19525
171, 6551, 405, 6956
172, 2810, 1201, 4011
173, 1232, 1508, 2740
174, 660, 1418, 2078
175, 752, 2516, 3268
176, 1641, 4515, 6156
177, 230, 859, 1089
178, 190, 530, 720
179, 261, 394, 655
180, 499, 1066, 1565
181, 1214, 2244, 3458
182, 285, 524, 809
183, 142, 987, 1129
184, 0, 12, 12
185, 39, 755, 794
186, 17, 224, 241
187, 1336, 2640, 3976
188, 132, 256, 388
189, 1540, 656, 2196
190, 336, 417, 753
191, 1491, 2124, 3615
192, 1402, 1227, 2629
193, 146, 334, 480
194, 1384, 770, 2154
195, 726, 872, 1598
196, 154, 2910, 3064
197, 314, 2862, 3176
198, 156, 2670, 2826
199, 346, 5489, 5835
200, 382, 4410, 4792
201, 500, 6004, 6504
202, 474, 5632, 6106
203, 604, 7388, 7992
204, 873, 10326, 11199
205, 1243, 4533, 5776
206, 414, 1613, 2027
207, 978, 3624, 4602
208, 2471, 9274, 11745
209, 591, 2186, 2777
210, 1400, 649, 2049
211, 569, 199, 768
212, 2503, 2194, 4697
213, 1182, 1116, 2298
214, 140, 240, 380
215, 65, 223, 288
216, 3896, 3533, 7429
217, 188, 792, 980
218, 366, 963, 1329
219, 946, 3516, 4462
220, 344, 1399, 1743
221, 2434, 9851, 12285
222, 6, 28, 34
223, 881, 3537, 4418
224, 1346, 5405, 6751
225, 0, 0, 0
226, 30, 111, 141
227, 161, 290, 451
228, 4, 24, 28
229, 264, 1607, 1871
230, 151, 394, 545
231, 210, 940, 1150
232, 112, 614, 726
233, 257, 2385, 2642
234, 254, 1407, 1661
235, 249, 971, 1220
236, 1672, 5922, 7594
237, 374, 2068, 2442
238, 654, 5252, 5906
239, 307, 1795, 2102
240, 0, 0, 0
241, 1702, 4124, 5826
242, 246, 515, 761
243, 299, 1810, 2109
