TAZ,Perc_Cont
156,0.057276
157,0.21885
158,0.078255
159,0.251183
160,0.395793
161,0
162,0.272362
163,0.301336
164,0.212145
165,0.158702
166,0.179163
167,0.125344
168,0.286012
169,0.309959
170,0.022535
171,0.058223
172,0.299427
173,0.550365
174,0.682387
175,0.76989
176,0.733431
177,0.788797
178,0.736111
179,0.601527
180,0.68115
181,0.64893
182,0.647713
183,0.874225
184,1
185,0.950882
186,0.929461
187,0.663984
188,0.659794
189,0.298725
190,0.553785
191,0.587552
192,0.466717
193,0.695833
194,0.357474
195,0.545682
196,0.949739
197,0.901134
198,0.944798
199,0.940703
200,0.920284
201,0.923124
202,0.922371
203,0.924424
204,0.922047
205,0.784799
206,0.795757
207,0.787484
208,0.789613
209,0.78718
210,0.31674
211,0.259115
212,0.467107
213,0.48564
214,0.631579
215,0.774306
216,0.475569
217,0.808163
218,0.724605
219,0.787987
220,0.802639
221,0.801872
222,0.823529
223,0.800589
224,0.800622
225,0
226,0.787234
227,0.643016
228,0.857143
229,0.858899
230,0.722936
231,0.817391
232,0.84573
233,0.902725
234,0.84708
235,0.795902
236,0.779826
237,0.846847
238,0.889265
239,0.853949
240,0
241,0.707861
242,0.676741
243,0.858227
244,0.895636
245,0.820628
246,0.725825
247,0.720551
248,0.606313
249,0.509106
250,0.507203
251,0.621405
252,0.611042
253,0.477016
254,0.214286
255,0.491887
256,0.611964
257,0.415153
258,0.585714
259,0.569348
260,0.63969
261,0.46982
262,0.474189
263,0.263736
264,0.489077
265,0.392679
266,0.557842
267,0.509772
268,0.819149
269,0
270,0
271,0.810811
272,0
273,0.834948
274,0.983271
275,0.986715
276,1
277,0.946173
278,0
279,0.950959
280,0.949045
281,0
282,0.948984
283,0.947154
284,0.916667
285,0.907388
286,0.953961
287,0.950165
288,0.936941
289,0.952203
290,0.906744
291,0.908216
292,0.908414
293,0.879096
294,0.877128
295,0.876996
296,0.879787
297,0.969363
298,0.947338
299,0.980791
300,0.860343
301,0.776963
302,0.808748
303,0.770903
304,0.685026
305,0.775891
306,0.773664
307,0.740741
308,0.811201
309,0.690838
310,0.66437
311,0.812737
312,0.813413
313,0.713235
314,0.625972
315,0.76234
316,0.760175
317,0.760791
318,0.759406
319,0.929134
320,0.853369
321,0.928009
322,0.907692
323,0.669918
324,0.927963
325,0.830583
326,0.779995
327,0.763445
328,0.606324
329,0.654004
330,0.547619
331,0.609829
332,0.644548
333,0.458963
334,0.52635
335,0.790798
336,0.790832
337,0.354953
338,0.571429
339,0.556692
340,0.787287
341,0.781035
342,0.291033
343,0.361812
344,0.323529
345,0.275386
346,0.297468
347,0.318275
348,0.320455
349,0.260791
350,0.382661
351,0.342562
352,0.323337
353,0.480772
354,0.276884
355,0.335964
356,0.269932
357,0.312434
358,0.218577
359,0.222855
360,0.21005
361,0.576923
362,0.229261
363,0.230073
364,0.215006
365,0.390878
366,0.156823
367,0.020566
368,0.099504
369,0.108039
370,0.19072
371,0.082404
372,0.235941
373,0.670968
374,0.986928
375,0.989916
376,0.988119
377,1
378,0.986742
379,0.988527
380,0.055661
381,0.035294
382,0.109641
383,0.107982
384,0.220866
385,0.3833
386,0.244423
387,0.191238
388,0
389,0.954178
390,0.916605
391,0.791667
392,0.313557
393,0.316704
394,0.436595
395,0.309829
396,0.153045
397,0.116943
398,0.942308
399,0
400,0.019924
401,0.053086
402,0.175867
403,0.044799
404,1
405,0.969643
406,0.178419
407,0.933333
408,0.060797
409,0
410,0.416667
411,1
412,0
413,0.123656
414,0
415,0.071429
416,0.39856
417,0.125255
418,0.253041
419,0.730769
420,0.687839
421,0.148297
422,0.11665
423,0.061628
424,0.053079
425,0.46411
426,0.018628
427,0.091045
428,0.064875
429,0.571429
430,0
431,0
432,0.299011
433,0.144578
434,0
435,0.5375
436,0.580709
437,0.178522
438,0.215213
439,0.091721
440,0.081633
441,0
442,0.085551
443,1
444,0.027298
445,0.907277
446,0.145578
447,0.266182
448,0.198692
449,0.201351
450,0.992188
451,1
452,0.994792
453,0.987952
454,1
455,0.332425
456,0.051854
457,0
458,0.086506
459,0.056937
460,1
461,0
462,0.359661
463,0.074847
464,0.104346
465,0.107993
466,0.088297
467,0.108416
